34,,PHX,IAD,US,1388,"2015-09-02 05:00","2015-09-02 14:32",IAD,PHX,US,1544,"2015-09-16 18:40","2015-09-16 23:02",307,68,376,,
35,,PHX,JFK,US,622,"2015-09-02 15:30","2015-09-02 23:26",JFK,PHX,US,654,"2015-09-16 13:30","2015-09-16 15:54",341,53,395,,
36,,PHX,LAS,US,636,"2015-09-02 16:55","2015-09-02 18:01",LAS,PHX,US,735,"2015-09-16 19:45","2015-09-16 20:50",197,42,240,,
37,,PHX,OGG,US,432,"2015-09-02 10:40","2015-09-02 14:10",OGG,PHX,US,645,"2015-09-16 22:30","2015-09-17 07:11",461,50,512,,
38,,DEN,SFO,F9,663,"2015-09-02 20:00","2015-09-02 21:36",SFO,DEN,F9,658,"2015-09-16 10:15","2015-09-16 13:44",10,29,40,,
39,,DEN,LAX,F9,409,"2015-09-02 20:45","2015-09-02 22:09",LAX,DEN,F9,402,"2015-09-16 20:35","2015-09-16 23:50",10,29,40,,
40,,DEN,SEA,F9,137,"2015-09-02 07:54","2015-09-02 09:45",SEA,DEN,F9,142,"2015-09-16 19:35","2015-09-16 23:06",10,29,40,,
41,,DEN,PHX,F9,755,"2015-09-02 14:24","2015-09-02 15:10",PHX,DEN,F9,756,"2015-09-16 05:05","2015-09-16 07:52",10,29,40,,
42,,DEN,DFW,F9,122,"2015-09-02 16:50","2015-09-02 19:38",DFW,DEN,F9,131,"2015-09-16 19:00","2015-09-16 20:05",10,29,40,,
43,,DEN,ORD,NK,630,"2015-09-02 13:34","2015-09-02 17:09",ORD,DEN,NK,847,"2015-09-16 10:55","2015-09-16 12:27",65,33,98,,
44,,DEN,ATL,F9,426,"2015-09-02 07:00","2015-09-02 11:47",ATL,DEN,F9,429,"2015-09-16 07:45","2015-09-16 09:04",10,29,40,,
45,,DEN,MIA,F9,612,"2015-09-02 23:30","2015-09-03 05:15",MIA,DEN,F9,619,"2015-09-16 21:20","2015-09-16 23:40",156,39,196,,
46,,DEN,IAD,UA,644,"2015-09-02 11:35","2015-09-02 16:49",IAD,DEN,UA,309,"2015-09-16 19:54","2015-09-16 21:33",414,59,474,,
47,,DEN,JFK,B6,98,"2015-09-02 23:59","2015-09-03 05:42",JFK,DEN,B6,97,"2015-09-16 20:35","2015-09-16 23:08",240,46,286,,
48,,DEN,BOS,B6,294,"2015-09-02 10:55","2015-09-02 16:49",BOS,DEN,B6,993,"2015-09-16 19:53","2015-09-16 22:20",244,46,291,,
